"Gene","Degree","Betweenness","Eigen_Centrality","Community","Functional_Category","NDD_Association","Hub_Status"
"DPY19L2",12,1459.93937226063,0.00296201890781826,1,"Other Functions","No","Non-Hub"
"LMO1",12,540.456927797456,0.0349152470238796,5,"Other Functions","No","Non-Hub"
"RAB27B",12,664.111083948868,0.0149749484709273,9,"Other Functions","No","Non-Hub"
"AP3S1",12,320.09922895753,0.0889903408066162,11,"Other Functions","No","Non-Hub"
"DNER",12,973.420083841164,0.0558523314637906,7,"Other Functions","No","Non-Hub"
"PPFIA4",12,514.008247790622,0.0164474512302326,11,"Other Functions","No","Non-Hub"
"PTGER3",12,244.916666433413,0.0713307966253945,7,"Other Functions","No","Non-Hub"
"ACSL5",12,1273.86777548398,0.0748687792184261,15,"Other Functions","No","Non-Hub"
"SPATA16",12,866.863077848275,0.00329471351149444,1,"Other Functions","No","Non-Hub"
"DDX20",12,1041.58606283432,0.0440907613332129,6,"Other Functions","No","Non-Hub"
"GBF1",12,415.05858047004,0.0209885074223743,9,"Other Functions","No","Non-Hub"
"MAP2K3",12,407.908991232187,0.124402020305807,8,"Other Functions","No","Non-Hub"
"MFSD14A",12,1147.1788053224,0.00636379994551352,1,"Other Functions","No","Non-Hub"
"ZBTB16",12,91.0223233132171,0.222393231053082,5,"Other Functions","No","Non-Hub"
"LCOR",12,217.520448287323,0.0896697383426147,5,"Other Functions","No","Non-Hub"
"PI4K2A",12,400.945550307419,0.0380366731567544,11,"Other Functions","No","Non-Hub"
"OTUD1",12,220.687245100366,0.0925990531759551,5,"Other Functions","No","Non-Hub"
"PCLO",12,575.634331293911,0.0363669775436631,9,"Other Functions","No","Non-Hub"
"MAFB",12,2709.8419959363,0.0382164419335588,12,"Other Functions","No","Non-Hub"
"MITF",12,196.307843069007,0.116830414458763,5,"Other Functions","No","Non-Hub"
"MIR5193",12,859.642980629708,0.105555998322375,5,"Other Functions","No","Non-Hub"
"BCAS3",12,1497.29243446189,0.00277699883623161,9,"Other Functions","No","Non-Hub"
"AEBP2",12,149.101936094966,0.0595593336054081,5,"Other Functions","No","Non-Hub"
"KIF16B",12,1157.19278777643,0.0131418737784851,11,"Other Functions","No","Non-Hub"
"PKP4",12,1043.38238114178,0.0655730886411227,18,"Other Functions","No","Non-Hub"
"MDN1",12,1792.53450014675,0.0433437887505274,6,"Other Functions","No","Non-Hub"
"PSAT1",12,1639.75290477465,0.0232329031968339,1,"Other Functions","No","Non-Hub"
"MBD5",12,614.136556669946,0.07875740264758,5,"Other Functions","No","Non-Hub"
"AAK1",12,232.984177550454,0.0609969000236001,11,"Other Functions","No","Non-Hub"
"WDR72",12,1080.96124335006,0.0108271664900818,12,"Other Functions","No","Non-Hub"
"TNIK",12,543.45805429409,0.0383613677309029,7,"Other Functions","No","Non-Hub"
"CWC27",12,1019.46083364372,0.00893117073567575,6,"Other Functions","No","Non-Hub"
"BAZ2B",12,349.762705240097,0.0563482975948904,2,"Other Functions","No","Non-Hub"
"RGS1",12,1592.84602203807,0.0621963386680319,7,"Other Functions","No","Non-Hub"
"PHACTR2",12,702.480874357835,0.0273215216735422,15,"Other Functions","No","Non-Hub"
"VPS53",12,281.235419325863,0.0146587377110338,9,"Other Functions","No","Non-Hub"
"PTPRG",12,354.830704047599,0.0286731835555807,10,"Other Functions","No","Non-Hub"
"AP3M2",12,457.885727091681,0.0472658224543946,11,"Other Functions","No","Non-Hub"
"ERI1",12,307.426656866474,0.0158221178126972,6,"Other Functions","No","Non-Hub"
"CELF1",12,861.329559002338,0.0660715394317061,11,"Other Functions","No","Non-Hub"
"TIAM2",12,591.509044986231,0.101176905756441,5,"Other Functions","No","Non-Hub"
"SH2B2",12,947.959109383264,0.0986339730902494,11,"Other Functions","No","Non-Hub"
"EML5",12,974.753279178859,0.0140936431282232,7,"Other Functions","No","Non-Hub"
"NUP62",12,287.666279039279,0.0526936080661817,6,"Other Functions","No","Non-Hub"
"PPP1R12B",12,1141.36830382667,0.038365961359169,11,"Other Functions","No","Non-Hub"
"ZPBP",10,213.226229199001,0.000605726157501394,1,"Other Functions","No","Non-Hub"
"CFAP61",10,488.653780813326,0.00145920044349237,1,"Other Functions","No","Non-Hub"
"USP37",10,671.10453867879,0.0507381979249574,6,"Other Functions","No","Non-Hub"
"ARHGAP20",10,756.663633878683,0.0300282279940873,6,"Other Functions","No","Non-Hub"
"RASGEF1B",10,379.716150555274,0.0152783131673791,7,"Other Functions","No","Non-Hub"
"GYPC",10,494.126593818215,0.0230638123945988,7,"Other Functions","No","Non-Hub"
"PTPN4",10,236.131793042979,0.0720748338773529,10,"Other Functions","No","Non-Hub"
"MOCOS",10,1833.36783038201,0.00804306609533043,1,"Other Functions","No","Non-Hub"
"SPG7",10,869.077660682084,0.029291560863208,5,"Other Functions","No","Non-Hub"
"ACAA2",10,162.247479438701,0.0128660492427638,15,"Other Functions","No","Non-Hub"
"CYTH3",10,882.95989156535,0.046817810381828,11,"Other Functions","No","Non-Hub"
"AIFM1",10,202.817461981184,0.101663188603756,5,"Other Functions","No","Non-Hub"
